"species","longitude","latitude","year","month","basisOfRecord","coordinateUncertaintyInMeters","country","locality","occurrenceID","ID","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_3","wc2.1_2.5m_bio_4","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_6","wc2.1_2.5m_bio_7","wc2.1_2.5m_bio_8","wc2.1_2.5m_bio_9","wc2.1_2.5m_bio_10","wc2.1_2.5m_bio_11","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_13","wc2.1_2.5m_bio_14","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_16","wc2.1_2.5m_bio_17","wc2.1_2.5m_bio_18","wc2.1_2.5m_bio_19"
"Capra sibirica",77.159431,34.31126,2015,5,"HUMAN_OBSERVATION",25,"India","Jammu and Kashmir","https://observation.org/observation/113511663",172,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,20.0279998779297,-18.5799999237061,38.6080017089844,12.2519998550415,-3.22000002861023,12.5013332366943,-11.275333404541,102,13,3,35.7669486999512,35,14,29,27
"Capra sibirica",77.175408,34.328704,2015,5,"HUMAN_OBSERVATION",25,"India","Jammu and Kashmir","https://observation.org/observation/113511653",173,-0.590833485126495,11.9816665649414,31.2413101196289,966.703430175781,18.4079990386963,-19.9440002441406,38.3519973754883,10.7559995651245,-4.68266677856445,10.9519996643066,-12.7306671142578,102,15,2,40.5204124450684,40,13,34,23
"Capra sibirica",77.165389,34.316437,2015,5,"HUMAN_OBSERVATION",25,"India","Jammu and Kashmir","https://observation.org/observation/114756973",174,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,20.0279998779297,-18.5799999237061,38.6080017089844,12.2519998550415,-3.22000002861023,12.5013332366943,-11.275333404541,102,13,3,35.7669486999512,35,14,29,27
"Capra sibirica",104.0804,43.4917,2015,5,"HUMAN_OBSERVATION",30,"Mongolia","Ömnögovi","https://observation.org/observation/103000455",175,0.556833326816559,11.9729995727539,26.9225578308105,1219.17626953125,22.2840003967285,-22.1879997253418,44.4720001220703,15.2279996871948,-14.6180000305176,15.2279996871948,-14.6180000305176,170,46,1,105.33829498291,116,5,116,5
"Capra sibirica",74.659084,42.49007,2015,7,"HUMAN_OBSERVATION",100,"Kyrgyzstan","Bishkek","https://observation.org/observation/105108004",179,-5.21433353424072,12.3986663818359,31.1336555480957,1015.93762207031,14.8839998245239,-24.9400005340576,39.8240013122559,4.23000001907349,-17.7719993591309,6.34133338928223,-17.7719993591309,529,81,16,52.4002685546875,237,56,204,56
"Capra sibirica",74.674534,42.452844,2015,7,"HUMAN_OBSERVATION",100,"Kyrgyzstan","Bishkek","https://observation.org/observation/105107925",180,-6.9176664352417,12.3746671676636,30.7766284942627,1024.66394042969,13.2880001068115,-26.9200000762939,40.2080001831055,2.55999994277954,-19.5986671447754,4.75666666030884,-19.5986671447754,561,84,17,51.4156379699707,248,59,216,59
"Capra sibirica",78.492052,42.320476,2015,7,"HUMAN_OBSERVATION",100,"Kyrgyzstan","Ysyk-Köl","https://observation.org/observation/105103632",181,-2.49483323097229,12.066333770752,32.939323425293,915.448120117188,15.4160003662109,-21.2159996032715,36.6319999694824,8.2180004119873,-13.9833335876465,8.2180004119873,-13.9833335876465,435,70,11,61.5283889770508,199,37,199,37
"Capra sibirica",77.592546,33.788419,2014,6,"HUMAN_OBSERVATION",100,"India","Hemis NP","https://observation.org/observation/182332444",185,-6.5513334274292,11.7626667022705,31.5759334564209,936.365173339844,11.8959999084473,-25.3560009002686,37.2519989013672,4.64733362197876,-10.4713335037231,4.69466686248779,-18.0986671447754,138,33,2,76.4674606323242,79,15,66,20
"Capra sibirica",101.662961,44.872792,2014,8,"HUMAN_OBSERVATION",100,"Mongolia","Övörhangay","https://observation.org/observation/95398314",186,-2.25049996376038,10.5229997634888,25.3370895385742,1152.97973632812,18.007999420166,-23.5240001678467,41.5319976806641,11.7659997940063,-16.5499992370605,11.7659997940063,-16.5499992370605,236,71,1,115.804779052734,169,5,169,5
"Capra sibirica",77.1306,34.3324,2014,10,"HUMAN_OBSERVATION",10,"India","Jammu and Kashmir","https://observation.org/observation/89346066",187,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,20.0279998779297,-18.5799999237061,38.6080017089844,12.2519998550415,-3.22000002861023,12.5013332366943,-11.275333404541,102,13,3,35.7669486999512,35,14,29,27
"Capra sibirica",77.1363,34.3313,2014,10,"HUMAN_OBSERVATION",5,"India","Jammu and Kashmir","https://observation.org/observation/93186414",188,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,20.0279998779297,-18.5799999237061,38.6080017089844,12.2519998550415,-3.22000002861023,12.5013332366943,-11.275333404541,102,13,3,35.7669486999512,35,14,29,27
"Capra sibirica",77.130635,34.332674,2014,10,"HUMAN_OBSERVATION",25,"India","Jammu and Kashmir","https://observation.org/observation/89283770",189,0.958666682243347,12.1873331069946,31.5668601989746,969.327087402344,20.0279998779297,-18.5799999237061,38.6080017089844,12.2519998550415,-3.22000002861023,12.5013332366943,-11.275333404541,102,13,3,35.7669486999512,35,14,29,27
"Capra sibirica",77.125854,34.288084,2013,2,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/79378658",192,4.09516668319702,12.331000328064,31.8696365356445,967.135864257812,23.1760005950928,-15.5159997940063,38.6920013427734,-6.97466659545898,5.74266672134399,15.5446662902832,-8.30733299255371,114,17,3,41.5133247375488,45,15,26,36
"Capra sibirica",77.134251,34.335638,2013,2,"HUMAN_OBSERVATION",10,"India","Jammu and Kashmir","https://observation.org/observation/73886048",193,-3.8898332118988,11.6309995651245,30.2575454711914,982.873107910156,15.043999671936,-23.3959999084473,38.439998626709,7.77133321762085,-7.79800033569336,7.81199979782104,-16.1200008392334,103,19,2,51.0147933959961,47,13,40,19
"Capra sibirica",77.144165,34.338072,2013,9,"HUMAN_OBSERVATION",100,"India","Jammu and Kashmir","https://observation.org/observation/81042209",195,-3.8898332118988,11.6309995651245,30.2575454711914,982.873107910156,15.043999671936,-23.3959999084473,38.439998626709,7.77133321762085,-7.79800033569336,7.81199979782104,-16.1200008392334,103,19,2,51.0147933959961,47,13,40,19
"Capra sibirica",77.0719,34.3259,2012,3,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/208037407",196,2.82666659355164,12.7786664962769,32.6252708435059,969.3056640625,22.0359992980957,-17.1319999694824,39.1679992675781,-8.4399995803833,-1.50200009346008,14.3279991149902,-9.49666690826416,112,16,3,39.6513023376465,43,15,26,35
"Capra sibirica",77.096665,34.308863,2012,9,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/71463280",198,1.64833331108093,12.3406667709351,31.8485260009766,969.552062988281,20.7399997711182,-18.007999420166,38.7480010986328,-9.66533279418945,-2.58599996566772,13.1840000152588,-10.6173334121704,106,13,3,35.7140808105469,35,14,28,29
"Capra sibirica",77.132263,34.336632,2012,11,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/72559455",199,-3.8898332118988,11.6309995651245,30.2575454711914,982.873107910156,15.043999671936,-23.3959999084473,38.439998626709,7.77133321762085,-7.79800033569336,7.81199979782104,-16.1200008392334,103,19,2,51.0147933959961,47,13,40,19
"Capra sibirica",77.149145,34.336914,2012,11,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/103639555",200,-3.8898332118988,11.6309995651245,30.2575454711914,982.873107910156,15.043999671936,-23.3959999084473,38.439998626709,7.77133321762085,-7.79800033569336,7.81199979782104,-16.1200008392334,103,19,2,51.0147933959961,47,13,40,19
"Capra sibirica",77.155668,34.344426,2012,11,"HUMAN_OBSERVATION",100,"India","Jammu and Kashmir","https://observation.org/observation/103639665",201,-3.8898332118988,11.6309995651245,30.2575454711914,982.873107910156,15.043999671936,-23.3959999084473,38.439998626709,7.77133321762085,-7.79800033569336,7.81199979782104,-16.1200008392334,103,19,2,51.0147933959961,47,13,40,19
"Capra sibirica",77.113096,34.350095,2012,11,"HUMAN_OBSERVATION",100,"India","Jammu and Kashmir","https://observation.org/observation/103639669",202,-3.51500010490417,11.6333332061768,30.3742389678955,976.62158203125,15.3599996566772,-22.9400005340576,38.2999992370605,8.07999992370605,-7.42466640472412,8.12733364105225,-15.6653337478638,103,18,2,47.6020622253418,45,13,37,21
"Capra sibirica",74.443359,41.804078,2007,5,"HUMAN_OBSERVATION",1000,"Kyrgyzstan","Naryn","https://observation.org/observation/41532967",203,1.18233346939087,13.7806663513184,29.911153793335,1195.978515625,23.4799995422363,-22.5919990539551,46.0719985961914,7.68200016021729,-14.6633329391479,14.2626667022705,-14.6633329391479,369,58,15,46.272518157959,154,53,118,53
"Capra sibirica",77.755737,33.513919,1984,7,"HUMAN_OBSERVATION",1000,"India","Jammu and Kashmir","https://observation.org/observation/54893307",211,-6.30033349990845,12.1213331222534,32.2170257568359,942.428039550781,12.46399974823,-25.1599998474121,37.6240005493164,4.91266679763794,-10.1999998092651,5.03800010681152,-17.9153327941895,145,34,3,73.3452682495117,81,16,67,22
"Capra sibirica",68.300003,34.989201,1965,7,"PRESERVED_SPECIMEN",13.12,"Afghanistan","Shibar Pass, 5 mi N","ed927a34-41d1-483c-b0f3-3e6a33d593b2",213,2.68666648864746,12.1006660461426,33.9334449768066,850.535766601562,20.4599990844727,-15.1999998092651,35.6599998474121,-3.06799983978271,11.8726663589478,12.9486665725708,-8.22533321380615,566,137,1,97.3460083007812,345,7,11,189
"Capra sibirica",71.782829,36.716671,1965,8,"PRESERVED_SPECIMEN",11.95,"Afghanistan","Ishkashim, 12 mi E","b4b2847c-5d9d-4550-bde3-2bd438aab5a8",214,-2.42533349990845,10.8466663360596,31.7748603820801,835.360534667969,14.8719997406006,-19.2639999389648,34.1360015869141,-4.59533357620239,7.6986665725708,7.6986665725708,-12.300666809082,516,88,9,58.5560646057129,235,51,51,151
"Capra sibirica",102.066673,44.583328,1922,7,"PRESERVED_SPECIMEN",82.28,"Mongolia","Arts Bogd Uul Mts","a1ac7d14-3739-4052-b6bb-76b2df63cb8f",222,1.51800000667572,11.7133331298828,24.651346206665,1299.98193359375,24,-23.5160007476807,47.515998840332,16.9653339385986,-15.195333480835,16.9653339385986,-15.195333480835,179,53,2,109.787055969238,124,6,124,6
